Signal data for event #10827 with energy 999.1025453310803
<z>	<x>	<t>	<nph>
5	8	20	44.0
5	9	20	47.0
6	0	20	37.0
6	1	20	38.0
6	2	20	32.0
6	3	20	21.0
6	4	20	19.0
6	5	20	18.0
6	6	20	17.0
6	7	20	16.0
6	8	20	31.0
6	9	20	35.0
7	0	20	34.0
7	1	20	32.0
7	2	20	23.0
7	3	20	19.0
7	4	20	16.0
7	5	20	16.0
7	6	20	13.0
7	7	20	16.0
7	8	20	16.0
7	9	20	30.0
8	0	20	42.0
8	1	20	33.0
8	2	20	23.0
8	3	20	20.0
8	4	20	18.0
8	5	20	16.0
8	6	20	16.0
8	7	20	18.0
8	8	20	16.0
8	9	20	24.0
9	0	20	42.0
9	1	20	34.0
9	2	20	28.0
9	3	20	25.0
9	4	20	23.0
9	5	20	21.0
9	6	20	22.0
9	7	20	18.0
9	8	20	19.0
9	9	20	23.0
0	0	21	121.0
0	1	21	120.0
0	2	21	123.0
0	3	21	135.0
0	4	21	132.0
0	5	21	129.0
0	6	21	112.0
0	7	21	113.0
0	8	21	110.0
0	9	21	105.0
1	0	21	133.0
1	1	21	122.0
1	2	21	123.0
1	3	21	128.0
1	4	21	122.0
1	5	21	128.0
1	6	21	134.0
1	7	21	146.0
1	8	21	146.0
1	9	21	149.0
2	0	21	93.0
2	1	21	92.0
2	2	21	95.0
2	3	21	99.0
2	4	21	105.0
2	5	21	106.0
2	6	21	100.0
2	7	21	94.0
2	8	21	92.0
2	9	21	94.0
3	0	21	50.0
3	1	21	55.0
3	2	21	51.0
3	3	21	41.0
3	4	21	35.0
3	5	21	30.0
3	6	21	30.0
3	7	21	35.0
3	8	21	47.0
3	9	21	48.0
4	0	21	33.0
4	1	21	25.0
4	2	21	25.0
4	3	21	21.0
4	4	21	21.0
4	5	21	19.0
4	6	21	18.0
4	7	21	16.0
4	8	21	16.0
4	9	21	14.0
5	0	21	14.0
5	1	21	12.0
5	2	21	9.0
5	3	21	8.0
5	4	21	7.0
5	5	21	10.0
5	6	21	11.0
5	7	21	12.0
5	8	21	10.0
5	9	21	9.0
6	0	21	10.0
6	1	21	9.0
6	2	21	6.0
6	3	21	6.0
6	4	21	7.0
6	5	21	10.0
6	6	21	9.0
6	7	21	11.0
6	8	21	11.0
6	9	21	9.0
7	0	21	8.0
7	1	21	6.0
7	2	21	5.0
7	3	21	4.0
7	4	21	3.0
7	5	21	4.0
7	6	21	7.0
7	7	21	9.0
7	8	21	10.0
7	9	21	11.0
8	0	21	10.0
8	1	21	7.0
8	2	21	7.0
8	3	21	7.0
8	4	21	6.0
8	5	21	7.0
8	6	21	8.0
8	7	21	10.0
8	8	21	11.0
8	9	21	12.0
9	0	21	11.0
9	1	21	8.0
9	2	21	8.0
9	3	21	9.0
9	4	21	10.0
9	5	21	9.0
9	6	21	11.0
9	7	21	12.0
9	8	21	12.0
9	9	21	14.0
0	0	22	25.0
0	1	22	30.0
0	2	22	27.0
